entity,value,synonyms
Pais,TJK,Tajikistan
Pais,TKL,Tokelau
Pais,TKM,Turkmenistan
Pais,TLS,Timor-Leste
Pais,TON,Tonga
Pais,TTO,Trinidad and Tobago
Pais,TUN,Tunisia
Pais,TUR,Turkey
Pais,TUV,Tuvalu
Pais,TWN,Taiwan
Pais,TZA,Tanzania
Pais,UGA,Uganda
Pais,UKR,Ukraine
Pais,UMI,United States Minor Outlying Islands
Pais,URY,Uruguay
Pais,USA,United States of America:Estados Unidos:EUA
Pais,UZB,Uzbekistan
Pais,VAT,Holy See
Pais,VCT,Saint Vincent and the Grenadines
Pais,VEN,Venezuela (Bolivarian Republic of)
Pais,VGB,Virgin Islands (British)
Pais,VIR,Virgin Islands (U.S.)
Pais,VNM,Viet Nam
Pais,VUT,Vanuatu
Pais,WLF,Wallis and Futuna
Pais,WSM,Samoa
Pais,YEM,Yemen
Pais,ZAF,South Africa
Pais,ZMB,Zambia
Pais,ZWE,Zimbabwe
